product_name,in_stores,in_warehouse,total
Vivo Basic Leggings - Black,262,306,568
Vivo Waridi Pencil Skirt - Black,233,172,405
Vivo Basic Bodycon - Black,280,87,367
Vivo Everyday Cap Sleeve Top - Black,281,81,362
Safari by Vivo Barrel Pants in Denim - Navy,236,121,357
Vivo Lindi High Low Dress - Black,114,240,354
Vivo Denim Straight Pants - Navy,227,123,350
Vivo Dolman Sweater in Rib - Black,0,338,338
Vivo Basic Kena Tent Knee Length Dress in Ponte - Mustard,294,39,333
Vivo Basic Dua Jacket - Black,245,80,325
Vivo Basic Cap Sleeve Bodycon - Black,259,46,305
Vivo Basic Leisure Pants in Ponte - Black,222,59,281
Vivo Everyday Long Sleeve Top In Jersey - Black,240,29,269
Vivo Lulu Contrast Stitch Tent Dress in Cotton - Black,0,246,246
Vivo Everyday Cap Sleeve Top - Rust,230,8,238
Safari by Vivo Godet Contrast Stitch Midi Skirt in Denim - Navy,222,10,232
Vivo Waridi Pencil Skirt - Dark Navy Blue,168,60,228
Vivo Basic Capri Leggings - Black,229,-1,228
Vivo Basic Cap Sleeve Bodycon - Navy Blue,184,44,228
Vivo V-Neck Camisole in Satin,193,31,224
Safari by Vivo Jacket in Denim - Navy,139,76,215
Vivo Basic Cap Sleeve Top in Satin - Black,198,17,215
Vivo Basic Waridi Pencil Skirt - Dark Teal,168,44,212
Vivo Basic Leggings - Navy Blue,148,64,212
Vivo Basic Short Sleeve Top in Jersey - Dark Olive,168,27,195
Vivo Studio Panelled Mini Dress in Ponte - Black,89,105,194
Vivo Basic Cap Sleeve Bodycon - Burgundy,188,3,191
Vivo Rema 3/4 Sleeve Side Slit Tunic Top - Taupe,163,27,190
Vivo Samira Pants in Rayon,166,20,186
Vivo Imara 3/4 Sleeve Tent Dress In Polyester - Burgundy,100,83,183
Vivo Asha Sleeveless Knee Length Dress - Olive Green / Black Tori Print,172,10,182
Vivo Selah Maxi Dress - Maroon,158,23,181
Vivo Basic Panelled Leisure Pants - Black,162,18,180
Vivo Basic Sienna Waterfall - Black,147,32,179
Vivo Chela Tank Top in Stretch Rib - Lilac,142,36,178
Vivo Everyday Cap Sleeve Top - White,169,9,178
Vivo V-Neck Dress in Stretch Rib - Lilac,90,83,173
Vivo Tatili Bishop Long Sleeve Top In Satin - Lilac / Maroon Garini Print,128,43,171
Vivo Lulu Denim Flared Pants - Navy,130,38,168
Vivo Wrap Top in Cotton - Pink / Green Print,163,4,167
Vivo Spaghetti Tank Top in Jersey - Black,152,14,166
Vivo Sierra Sleeveless Double Layered Top in Chiffon - White / Chocolate Arah Print,0,163,163
Vivo Kaisa Short Sleeve Maxi Bodycon In Polyester Stretch - Mustard,142,19,161
Vivo Basic Straight Leg Pants - Black,159,2,161
Vivo Cowl Neck Knit Sweater - Black,0,160,160
Vivo Tatili Pinstripe Pants in Medium Crepe - Dark Red,117,42,159
Vivo Pencil Skirt in Ponte - Burgundy,155,2,157
Vivo Boat Neck Dress in Ponte - Olive,79,70,149
Vivo Liora Scooped Neck Tank Top in Crepe - Dark Green / Lime Yani Print,135,13,148
Vivo Pencil Skirt in Ponte - Navy,140,7,147
Vivo Nasinka A-Line Knee Length Dress in Crepe - Dusty Green,80,65,145
Vivo Tatili Pinstripe Pants in Medium Crepe - Dark Purple,115,28,143
Vivo Basic Double Layered Wrap Poncho - Dark Red,90,51,141
Vivo Studio Mini Pencil Skirt in Ponte - Burgundy,59,81,140
Vivo Basic Satin Bishop Sleeved Top - Black,136,4,140
Vivo Boat Neck Dress in Ponte - Orange,63,76,139
Vivo Basic Chiffon Cap Sleeve Top (Double Layered) - Dark Chocolate,132,3,135
Vivo Basic Capri Leggings - Dark Teal,126,8,134
Vivo Lulu Cotton Bubble Sleeveless Top - Black Flower Print,103,31,134
Vivo Everyday Long Sleeve Top In Jersey - White,128,6,134
Vivo Basic Sienna Waterfall - Navy,123,7,130
Vivo Selah Sleeveless Maxi Dress in Stretch Rib - Black,129,0,129
Vivo Sleeveless Bodycon in Stretch Rib - Wine Red,107,22,129
Vivo Basic Extra Long Lily Waterfall - Dark Taupe,111,15,126
Vivo Spaghetti Tank Top in Jersey - White,118,7,125
Vivo Laika Cap Sleeve Shift Dress In Crepe - Red,50,74,124
Vivo Basic 3/4 Sleeve Double Layered Bodycon Dress - Dark Green,109,15,124
Vivo Basic Tank Top - White,123,1,124
Vivo Basic Bodycon - Chocolate,101,23,124
Vivo Cowl Neck Knit Sweater - White,3,120,123
Vivo Laika Cap Sleeve Shift Dress In Crepe - Light Brown,50,73,123
Vivo Basic Sleeveless Kena Tent Dress In Ponte - Mustard,89,33,122
Vivo Samira Midi Dress in Textured Satin - Black,119,2,121
Vivo Tatili Bishop Long Sleeve Top In Satin - Fuschia / Black Garini Print ,120,1,121
Vivo Cowl Neck Knit Sweater - Mustard,0,120,120
Vivo Basic Double Layered Wrap Poncho - Rust,66,54,120
Vivo Cowl Neck Knit Sweater - Plum,0,120,120
Vivo Basic Knee Length Dress In Chiffon - Sea Green,41,79,120
Vivo Cowl Neck Knit Sweater - Ivory,0,120,120
Vivo Cowl Neck Knit Sweater - Rust,0,120,120
Vivo Basic Cap Sleeved Bodysuit - Burgundy,97,23,120
Vivo Chela Tank Top in Stretch Rib - Buttermilk,112,7,119
Vivo Basic 3/4 Sleeve Kena Tent Knee Length Dress - Red,95,22,117
Vivo Chela Pants in Jersey - Olive,54,63,117
Vivo Maxi Dress in Stretch Rib - Black,70,46,116
Vivo Basic Cap Sleeved Bodysuit - Navy Blue,112,4,116
Vivo Basic Short Waterfall - Dark Maroon,60,52,112
Vivo Basic Escape A-line Dress - Red,110,2,112
Vivo Basic Cap Sleeve Tent Knee Length Dress in Crepe - Black,77,35,112
Vivo Basic Imelda Cowl Sweater - Red,35,77,112
Vivo Midi Bodycon in Stretch Rib - Black,98,14,112
Vivo Basic Leisure Pants - Navy Blue,78,34,112
